Indexcd,Trddt,Retindex
300,2019/1/31,0.010462
300,2019/2/1,0.014294
300,2019/2/11,0.018191
300,2019/2/12,0.007217
300,2019/2/13,0.020026
300,2019/2/14,0.001505
300,2019/2/15,-0.018646
300,2019/2/18,0.03206
300,2019/2/19,-0.001781
300,2019/2/20,0.003582
300,2019/2/21,-0.002671
300,2019/2/22,0.022486
300,2019/2/25,0.059477
300,2019/2/26,-0.01201
300,2019/2/27,-0.00171
300,2019/2/28,-0.002453
300,2019/3/1,0.021896
300,2019/3/4,0.011838
300,2019/3/5,0.005774
300,2019/3/6,0.008406
300,2019/3/7,-0.010197
300,2019/3/8,-0.039716
300,2019/3/11,0.019788
300,2019/3/12,0.006809
300,2019/3/13,-0.008297
300,2019/3/14,-0.006903
300,2019/3/15,0.012578
300,2019/3/18,0.028503
300,2019/3/19,-0.004617
300,2019/3/20,0.000385
300,2019/3/21,0.000378
300,2019/3/22,-0.000805
300,2019/3/25,-0.02373
300,2019/3/26,-0.011325
300,2019/3/27,0.011606
300,2019/3/28,-0.004005
300,2019/3/29,0.038608
300,2019/4/1,0.026234
300,2019/4/2,-0.000665
300,2019/4/3,0.01281
300,2019/4/4,0.009963
300,2019/4/8,-0.001231
300,2019/4/9,0.004486
300,2019/4/10,0.002556
300,2019/4/11,-0.021604
300,2019/4/12,-0.002242
300,2019/4/15,-0.003283
300,2019/4/16,0.027736
300,2019/4/17,0.000355
300,2019/4/18,-0.00371
300,2019/4/19,0.011918
300,2019/4/22,-0.023054
300,2019/4/23,-0.001641
300,2019/4/24,0.002758
300,2019/4/25,-0.021903
300,2019/4/26,-0.013329
300,2019/4/29,0.002843
300,2019/4/30,0.003302
300,2019/5/6,-0.058416
300,2019/5/7,0.009784
300,2019/5/8,-0.014301
300,2019/5/9,-0.018475
300,2019/5/10,0.036323
300,2019/5/13,-0.016546
300,2019/5/14,-0.006426
300,2019/5/15,0.02248
300,2019/5/16,0.004527
300,2019/5/17,-0.025428
300,2019/5/20,-0.008488
300,2019/5/21,0.01354
300,2019/5/22,-0.004744
300,2019/5/23,-0.017925
300,2019/5/24,0.002776
300,2019/5/27,0.012043
300,2019/5/28,0.00964
300,2019/5/29,-0.002274
300,2019/5/30,-0.006203
300,2019/5/31,-0.003129
300,2019/6/3,0.000613
300,2019/6/4,-0.009236
300,2019/6/5,-0.000378
300,2019/6/6,-0.009015
300,2019/6/10,0.012923
300,2019/6/11,0.030058
300,2019/6/12,-0.007577
300,2019/6/13,-0.001545
300,2019/6/14,-0.008279
300,2019/6/17,-0.000015
300,2019/6/18,0.003501
300,2019/6/19,0.013174
300,2019/6/20,0.030297
300,2019/6/21,0.001416
300,2019/6/24,0.001911
300,2019/6/25,-0.010402
300,2019/6/26,-0.001836
300,2019/6/27,0.01067
300,2019/6/28,-0.002407
300,2019/7/1,0.028813
300,2019/7/2,0.000345
300,2019/7/3,-0.011083
300,2019/7/4,-0.005248
300,2019/7/5,0.00519
300,2019/7/8,-0.023223
300,2019/7/9,-0.00254
300,2019/7/10,-0.001685
300,2019/7/11,-0.000401
300,2019/7/12,0.006211
300,2019/7/15,0.004058
300,2019/7/16,-0.004535
300,2019/7/17,-0.00058
300,2019/7/18,-0.009524
300,2019/7/19,0.010496
300,2019/7/22,-0.006899
300,2019/7/23,0.002177
300,2019/7/24,0.007894
300,2019/7/25,0.008177
300,2019/7/26,0.001948
300,2019/7/29,-0.001114
300,2019/7/30,0.004164
300,2019/7/31,-0.009033
300,2019/8/1,-0.008315
300,2019/8/2,-0.014732
300,2019/8/5,-0.019146
300,2019/8/6,-0.010708
300,2019/8/7,-0.004097
300,2019/8/8,0.013217
300,2019/8/9,-0.009747
300,2019/8/12,0.018047
300,2019/8/13,-0.009017
300,2019/8/14,0.004542
300,2019/8/15,0.00315
300,2019/8/16,0.004477
300,2019/8/19,0.02171
300,2019/8/20,-0.000887
300,2019/8/21,-0.001577
300,2019/8/22,0.003106
300,2019/8/23,0.007212
300,2019/8/26,-0.014383
300,2019/8/27,0.013552
300,2019/8/28,-0.003763
300,2019/8/29,-0.00326
300,2019/8/30,0.00248
300,2019/9/2,0.012826
300,2019/9/3,0.001375
300,2019/9/4,0.008405
300,2019/9/5,0.010119
300,2019/9/6,0.005907
300,2019/9/9,0.00619
300,2019/9/10,-0.003444
300,2019/9/11,-0.007366
300,2019/9/12,0.010758
300,2019/9/16,-0.003692
300,2019/9/17,-0.016801
300,2019/9/18,0.004848
300,2019/9/19,0.003657
300,2019/9/20,0.002872
300,2019/9/23,-0.011431
300,2019/9/24,0.002677
300,2019/9/25,-0.007714
300,2019/9/26,-0.00771
300,2019/9/27,0.002998
300,2019/9/30,-0.009896
300,2019/10/8,0.006069
300,2019/10/9,0.001449
300,2019/10/10,0.00817
300,2019/10/11,0.009571
300,2019/10/14,0.010613
300,2019/10/15,-0.004298
300,2019/10/16,-0.003446
300,2019/10/17,0.000647
300,2019/10/18,-0.014227
300,2019/10/21,0.002962
300,2019/10/22,0.003876
300,2019/10/23,-0.006365
300,2019/10/24,-0.000108
300,2019/10/25,0.006749
300,2019/10/28,0.007646
300,2019/10/29,-0.004166
300,2019/10/30,-0.004859
300,2019/10/31,-0.00115
300,2019/11/1,0.016887
300,2019/11/4,0.006511
300,2019/11/5,0.006207
300,2019/11/6,-0.00448
300,2019/11/7,0.001755
300,2019/11/8,-0.004726
300,2019/11/11,-0.017627
300,2019/11/12,0.000182
300,2019/11/13,-0.00095
300,2019/11/14,0.001507
300,2019/11/15,-0.007365
300,2019/11/18,0.007954
300,2019/11/19,0.010008
300,2019/11/20,-0.009925
300,2019/11/21,-0.004674
300,2019/11/22,-0.010182
300,2019/11/25,0.007328
300,2019/11/26,0.003467
300,2019/11/27,-0.00412
300,2019/11/28,-0.003436
300,2019/11/29,-0.008708
300,2019/12/2,0.00193
300,2019/12/3,0.003918
300,2019/12/4,-0.000329
300,2019/12/5,0.007674
300,2019/12/6,0.005934
300,2019/12/9,-0.001778
300,2019/12/10,0.001267
300,2019/12/11,0.000606
300,2019/12/12,-0.003004
300,2019/12/13,0.01984
300,2019/12/16,0.00487
300,2019/12/17,0.013606
300,2019/12/18,-0.002231
300,2019/12/19,-0.001397
300,2019/12/20,-0.002457
300,2019/12/23,-0.012485
300,2019/12/24,0.006519
300,2019/12/25,-0.000524
300,2019/12/26,0.0088
300,2019/12/27,-0.000984
300,2019/12/30,0.01482
300,2019/12/31,0.003663
300,2020/1/2,0.013587
300,2020/1/3,-0.001752
300,2020/1/6,-0.00378
300,2020/1/7,0.007491
300,2020/1/8,-0.011516
300,2020/1/9,0.012658
300,2020/1/10,-0.000285
300,2020/1/13,0.009801
300,2020/1/14,-0.003354
300,2020/1/15,-0.005526
300,2020/1/16,-0.004246
300,2020/1/17,0.0014
300,2020/1/20,0.007456
300,2020/1/21,-0.017086
300,2020/1/22,0.004283
300,2020/1/23,-0.030986
300,2020/2/3,-0.078809
300,2020/2/4,0.026375
300,2020/2/5,0.011329
300,2020/2/6,0.01861
300,2020/2/7,0.000024
300,2020/2/10,0.004138
300,2020/2/11,0.00931
300,2020/2/12,0.008088
300,2020/2/13,-0.006152
300,2020/2/14,0.007024
300,2020/2/17,0.022491
300,2020/2/18,-0.004884
300,2020/2/19,-0.001528
300,2020/2/20,0.023041
300,2020/2/21,0.001166
300,2020/2/24,-0.004013
300,2020/2/25,-0.002174
300,2020/2/26,-0.012328
300,2020/2/27,0.002912
300,2020/2/28,-0.035454
300,2020/3/2,0.032897
300,2020/3/3,0.005331
300,2020/3/4,0.00579
300,2020/3/5,0.022277
300,2020/3/6,-0.016216
300,2020/3/9,-0.034161
300,2020/3/10,0.021415
300,2020/3/11,-0.0133
300,2020/3/12,-0.019243
300,2020/3/13,-0.014072
300,2020/3/16,-0.042993
300,2020/3/17,-0.004871
300,2020/3/18,-0.019793
300,2020/3/19,-0.01297
300,2020/3/20,0.017868
300,2020/3/23,-0.033646
300,2020/3/24,0.026856
300,2020/3/25,0.026869
300,2020/3/26,-0.006574
300,2020/3/27,0.003249
300,2020/3/30,-0.00969
300,2020/3/31,0.003278
300,2020/4/1,-0.003006
300,2020/4/2,0.016178
300,2020/4/3,-0.005707
300,2020/4/7,0.022838
300,2020/4/8,-0.004654
300,2020/4/9,0.003298
300,2020/4/10,-0.006231
300,2020/4/13,-0.004224
300,2020/4/14,0.019301
300,2020/4/15,-0.007407
300,2020/4/16,0.001322
300,2020/4/17,0.009759
300,2020/4/20,0.003638
300,2020/4/21,-0.011784
300,2020/4/22,0.008229
300,2020/4/23,-0.002508
300,2020/4/24,-0.00856
300,2020/4/27,0.006794
300,2020/4/28,0.0069
300,2020/4/29,0.004647
300,2020/4/30,0.011778
300,2020/5/6,0.006052
300,2020/5/7,-0.002886
300,2020/5/8,0.009867
300,2020/5/11,-0.000868
300,2020/5/12,0.000015
300,2020/5/13,0.002024
300,2020/5/14,-0.010845
300,2020/5/15,-0.00316
300,2020/5/18,0.00258
300,2020/5/19,0.008498
300,2020/5/20,-0.005315
300,2020/5/21,-0.005445
300,2020/5/22,-0.022927
300,2020/5/25,0.001376
300,2020/5/26,0.011345
300,2020/5/27,-0.007012
300,2020/5/28,0.002865
300,2020/5/29,0.002694
300,2020/6/1,0.026976
300,2020/6/2,0.003079
300,2020/6/3,0.00002
300,2020/6/4,-0.000367
300,2020/6/5,0.004788
300,2020/6/8,0.005174
300,2020/6/9,0.006234
300,2020/6/10,-0.00181
300,2020/6/11,-0.010847
300,2020/6/12,0.001801
300,2020/6/15,-0.012014
300,2020/6/16,0.015065
300,2020/6/17,0.000753
300,2020/6/18,0.006668
300,2020/6/19,0.013432
300,2020/6/22,0.000814
300,2020/6/23,0.004814
300,2020/6/24,0.004172
300,2020/6/29,-0.007073
300,2020/6/30,0.0132
300,2020/7/1,0.02013
300,2020/7/2,0.020731
300,2020/7/3,0.019316
300,2020/7/6,0.056679
300,2020/7/7,0.006002
300,2020/7/8,0.016151
300,2020/7/9,0.013986
300,2020/7/10,-0.018104
300,2020/7/13,0.021003
300,2020/7/14,-0.009535
300,2020/7/15,-0.012945
300,2020/7/16,-0.048101
300,2020/7/17,0.006299
300,2020/7/20,0.029838
300,2020/7/21,0.002294
300,2020/7/22,0.004989
300,2020/7/23,-0.000426
300,2020/7/24,-0.043893
300,2020/7/27,0.005073
300,2020/7/28,0.008791
300,2020/7/29,0.024243
300,2020/7/30,-0.004885
300,2020/7/31,0.008353
300,2020/8/3,0.016244
300,2020/8/4,0.000941
300,2020/8/5,0.000274
300,2020/8/6,-0.003003
300,2020/8/7,-0.011514
300,2020/8/10,0.003599
300,2020/8/11,-0.009119
300,2020/8/12,-0.007292
300,2020/8/13,-0.002567
300,2020/8/14,0.014866
300,2020/8/17,0.023508
300,2020/8/18,-0.000513
300,2020/8/19,-0.014976
300,2020/8/20,-0.012978
300,2020/8/21,0.008482
300,2020/8/24,0.007842
300,2020/8/25,0.001283
300,2020/8/26,-0.011722
300,2020/8/27,0.005358
300,2020/8/28,0.023866
300,2020/8/31,-0.00579
300,2020/9/1,0.005379
300,2020/9/2,0.000365
300,2020/9/3,-0.005531
300,2020/9/4,-0.009731
300,2020/9/7,-0.021142
300,2020/9/8,0.005359
300,2020/9/9,-0.02339
300,2020/9/10,-0.00057
300,2020/9/11,0.009888
300,2020/9/14,0.005136
300,2020/9/15,0.008048
300,2020/9/16,-0.006639
300,2020/9/17,-0.005291
300,2020/9/18,0.02253
300,2020/9/21,-0.009639
300,2020/9/22,-0.011866
300,2020/9/23,0.003574
300,2020/9/24,-0.019186
300,2020/9/25,0.001524
300,2020/9/28,0.002601
300,2020/9/29,0.002159
300,2020/9/30,-0.000959
300,2020/10/9,0.020436
300,2020/10/12,0.030338
300,2020/10/13,0.003326
300,2020/10/14,-0.006633
300,2020/10/15,-0.00174
300,2020/10/16,-0.001471
300,2020/10/19,-0.007552
300,2020/10/20,0.007986
300,2020/10/21,-0.000133
300,2020/10/22,-0.003097
300,2020/10/23,-0.012452
300,2020/10/26,-0.005776
300,2020/10/27,0.001714
300,2020/10/28,0.008085
300,2020/10/29,0.007525
300,2020/10/30,-0.016255
300,2020/11/2,0.00543
300,2020/11/3,0.012017
300,2020/11/4,0.007555
300,2020/11/5,0.014844
300,2020/11/6,0.000124
300,2020/11/9,0.019574
300,2020/11/10,-0.005515
300,2020/11/11,-0.009887
300,2020/11/12,0.000727
300,2020/11/13,-0.010515
300,2020/11/16,0.009743
300,2020/11/17,-0.001914
300,2020/11/18,-0.000636
300,2020/11/19,0.007424
300,2020/11/20,0.003105
300,2020/11/23,0.012489
300,2020/11/24,-0.006142
300,2020/11/25,-0.012783
300,2020/11/26,0.001811
300,2020/11/27,0.012435
300,2020/11/30,-0.004118
300,2020/12/1,0.02154
300,2020/12/2,0.000009
300,2020/12/3,-0.00199
300,2020/12/4,0.001751
300,2020/12/7,-0.008623
300,2020/12/8,-0.00246
300,2020/12/9,-0.01341
300,2020/12/10,-0.00044
300,2020/12/11,-0.010302
300,2020/12/14,0.009245
300,2020/12/15,0.00208
300,2020/12/16,0.001773
300,2020/12/17,0.012841
300,2020/12/18,-0.00349
300,2020/12/21,0.009374
300,2020/12/22,-0.016261
300,2020/12/23,0.00853
300,2020/12/24,-0.00142
300,2020/12/25,0.0084
300,2020/12/28,0.004443
300,2020/12/29,-0.004241
300,2020/12/30,0.014034
300,2020/12/31,0.019081
300,2021/1/4,0.010828
300,2021/1/5,0.019133
300,2021/1/6,0.009158
300,2021/1/7,0.017718
300,2021/1/8,-0.003306
300,2021/1/11,-0.009876
300,2021/1/12,0.028522
300,2021/1/13,-0.003284
300,2021/1/14,-0.019275
300,2021/1/15,-0.002262
300,2021/1/18,0.011073
300,2021/1/19,-0.014677
300,2021/1/20,0.007156
300,2021/1/21,0.016167
300,2021/1/22,0.000864
300,2021/1/25,0.010081
300,2021/1/26,-0.020078
300,2021/1/27,0.002727
300,2021/1/28,-0.02729
300,2021/1/29,-0.004682
300,2021/2/1,0.012273
300,2021/2/2,0.015402
300,2021/2/3,-0.002889
300,2021/2/4,-0.002052
300,2021/2/5,0.001729
300,2021/2/8,0.014799
300,2021/2/9,0.021868
300,2021/2/10,0.021362
300,2021/2/18,-0.006773
300,2021/2/19,0.001814
300,2021/2/22,-0.031409
300,2021/2/23,-0.003156
300,2021/2/24,-0.025467
300,2021/2/25,0.005883
300,2021/2/26,-0.024279
300,2021/3/1,0.015369
300,2021/3/2,-0.012762
300,2021/3/3,0.019176
300,2021/3/4,-0.031456
300,2021/3/5,-0.003392
300,2021/3/8,-0.034729
300,2021/3/9,-0.021462
300,2021/3/10,0.006561
300,2021/3/11,0.024903
300,2021/3/12,0.003542
300,2021/3/15,-0.021537
300,2021/3/16,0.008702
300,2021/3/17,0.004232
300,2021/3/18,0.00802
300,2021/3/19,-0.026193
300,2021/3/22,0.009998
300,2021/3/23,-0.009473
300,2021/3/24,-0.016082
300,2021/3/25,-0.000474
300,2021/3/26,0.022662
300,2021/3/29,0.001764
300,2021/3/30,0.009482
300,2021/3/31,-0.009101
300,2021/4/1,0.012364
300,2021/4/2,0.009936
300,2021/4/6,-0.00411
300,2021/4/7,-0.00712
300,2021/4/8,0.001659
300,2021/4/9,-0.015037
300,2021/4/12,-0.017395
300,2021/4/13,-0.001638
300,2021/4/14,0.008297
300,2021/4/15,-0.006355
300,2021/4/16,0.003477
300,2021/4/19,0.024332
300,2021/4/20,-0.000718
300,2021/4/21,0.003026
300,2021/4/22,-0.001864
300,2021/4/23,0.00908
300,2021/4/26,-0.011336
300,2021/4/27,0.002616
300,2021/4/28,0.005642
300,2021/4/29,0.008776
300,2021/4/30,-0.007877
300,2021/5/6,-0.012172
300,2021/5/7,-0.012857
300,2021/5/10,-0.000727
300,2021/5/11,0.006137
300,2021/5/12,0.004278
300,2021/5/13,-0.010224
300,2021/5/14,0.023556
300,2021/5/17,0.014557
300,2021/5/18,0.000505
300,2021/5/19,-0.002955
300,2021/5/20,0.002734
300,2021/5/21,-0.010077
300,2021/5/24,0.004176
300,2021/5/25,0.031595
300,2021/5/26,0.000398
300,2021/5/27,0.003315
300,2021/5/28,-0.003212
300,2021/5/31,0.00197
300,2021/6/1,0.001896
300,2021/6/2,-0.00968
300,2021/6/3,-0.006557
300,2021/6/4,0.005136
300,2021/6/7,-0.00088
300,2021/6/8,-0.008623
300,2021/6/9,0.000828
300,2021/6/10,0.006687
300,2021/6/11,-0.008871
300,2021/6/15,-0.011128
300,2021/6/16,-0.016659
300,2021/6/17,0.004212
300,2021/6/18,0.000113
300,2021/6/21,-0.002368
300,2021/6/22,0.006242
300,2021/6/23,0.004927
300,2021/6/24,0.001667
300,2021/6/25,0.016291
300,2021/6/28,0.00225
300,2021/6/29,-0.011656
300,2021/6/30,0.006453
300,2021/7/1,0.001076
300,2021/7/2,-0.028405
300,2021/7/5,0.00092
300,2021/7/6,-0.000529
300,2021/7/7,0.01129
300,2021/7/8,-0.010161
300,2021/7/9,-0.003699
300,2021/7/12,0.012481
300,2021/7/13,0.001829
300,2021/7/14,-0.011477
300,2021/7/15,0.013452
300,2021/7/16,-0.011005
300,2021/7/19,0.003675
300,2021/7/20,-0.00088
300,2021/7/21,0.00686
300,2021/7/22,0.001499
300,2021/7/23,-0.012136
300,2021/7/26,-0.032211
300,2021/7/27,-0.035325
300,2021/7/28,0.00193
300,2021/7/29,0.018862
300,2021/7/30,-0.008063
300,2021/8/2,0.025476
300,2021/8/3,0.000146
300,2021/8/4,0.008996
300,2021/8/5,-0.006061
300,2021/8/6,-0.005477
300,2021/8/9,0.013004
300,2021/8/10,0.01155
300,2021/8/11,-0.005514
300,2021/8/12,-0.008372
300,2021/8/13,-0.005503
300,2021/8/16,-0.000994
300,2021/8/17,-0.02098
300,2021/8/18,0.011749
300,2021/8/19,-0.006559
300,2021/8/20,-0.019101
300,2021/8/23,0.013967
300,2021/8/24,0.010859
300,2021/8/25,0.001998
300,2021/8/26,-0.019711
300,2021/8/27,0.005297
300,2021/8/30,-0.002853
300,2021/8/31,-0.001591
300,2021/9/1,0.013286
300,2021/9/2,-0.00001
300,2021/9/3,-0.005411
300,2021/9/6,0.01872
300,2021/9/7,0.011979
300,2021/9/8,-0.004145
300,2021/9/9,-0.000426
300,2021/9/10,0.008754
300,2021/9/13,-0.004361
300,2021/9/14,-0.014924
300,2021/9/15,-0.010137
300,2021/9/16,-0.012249
300,2021/9/17,0.010034
300,2021/9/22,-0.007037
300,2021/9/23,0.006518
300,2021/9/24,-0.000776
300,2021/9/27,0.005762
300,2021/9/28,0.001324
300,2021/9/29,-0.010217
300,2021/9/30,0.006714
